UNITID,EFALEVEL,LINE,SECTION,LSTUDY,XEFTOTLT,EFTOTLT,XEFTOTLM,EFTOTLM,XEFTOTLW,EFTOTLW,XEFAIANT,EFAIANT,XEFAIANM,EFAIANM,XEFAIANW,EFAIANW,XEFASIAT,EFASIAT,XEFASIAM,EFASIAM,XEFASIAW,EFASIAW,XEFBKAAT,EFBKAAT,XEFBKAAM,EFBKAAM,XEFBKAAW,EFBKAAW,XEFHISPT,EFHISPT,XEFHISPM,EFHISPM,XEFHISPW,EFHISPW,XEFNHPIT,EFNHPIT,XEFNHPIM,EFNHPIM,XEFNHPIW,EFNHPIW,XEFWHITT,EFWHITT,XEFWHITM,EFWHITM,XEFWHITW,EFWHITW,XEF2MORT,EF2MORT,XEF2MORM,EF2MORM,XEF2MORW,EF2MORW,XEFUNKNT,EFUNKNT,XEFUNKNM,EFUNKNM,XEFUNKNW,EFUNKNW,XEFNRALT,EFNRALT,XEFNRALM,EFNRALM,XEFNRALW,EFNRALW 
101453,1,29,3,4,R,94,R,81,R,13,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,10,R,9,R,1,R,4,R,4,Z,0,R,1,R,1,Z,0,R,71,R,61,R,10,R,1,Z,0,R,1,R,4,R,3,R,1,R,3,R,3,Z,0
101462,1,29,3,4,R,1383,R,642,R,741,R,8,R,4,R,4,R,17,R,6,R,11,R,746,R,262,R,484,R,39,R,20,R,19,R,5,R,1,R,4,R,528,R,331,R,197,R,30,R,13,R,17,R,8,R,4,R,4,R,2,R,1,R,1
101471,1,29,3,4,R,513,R,385,R,128,R,1,R,0,R,1,R,1,R,1,R,0,R,284,R,244,R,40,R,5,R,4,R,1,R,0,R,0,R,0,R,222,R,136,R,86,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0
101480,1,29,3,4,R,8693,R,3632,R,5061,R,48,R,21,R,27,R,54,R,21,R,33,R,2199,R,856,R,1343,R,105,R,47,R,58,R,7,R,0,R,7,R,5774,R,2424,R,3350,R,0,R,0,R,0,R,302,R,162,R,140,R,204,R,101,R,103
101499,1,29,3,4,R,1091,R,460,R,631,R,32,R,13,R,19,R,20,R,5,R,15,R,311,R,117,R,194,R,12,R,7,R,5,R,0,R,0,R,0,R,655,R,273,R,382,R,14,R,1,R,13,R,47,R,44,R,3,R,0,R,0,R,0
101505,1,29,3,4,R,8542,R,3328,R,5214,R,26,R,14,R,12,R,145,R,68,R,77,R,1706,R,560,R,1146,R,315,R,123,R,192,R,6,R,1,R,5,R,6056,R,2439,R,3617,R,218,R,85,R,133,R,9,R,6,R,3,R,61,R,32,R,29
101514,1,29,3,4,R,11186,R,4886,R,6300,R,217,R,90,R,127,R,283,R,109,R,174,R,2065,R,774,R,1291,R,440,R,181,R,259,R,9,R,3,R,6,R,7472,R,3433,R,4039,R,374,R,146,R,228,R,277,R,133,R,144,R,49,R,17,R,32
101541,1,29,3,4,R,347,R,16,R,331,R,1,R,1,Z,0,R,3,Z,0,R,3,R,50,R,2,R,48,R,5,Z,0,R,5,Z,0,Z,0,Z,0,R,276,R,13,R,263,R,2,Z,0,R,2,R,7,Z,0,R,7,R,3,Z,0,R,3
101569,1,29,3,4,R,3028,R,1233,R,1795,R,4,R,2,R,2,R,11,R,4,R,7,R,2275,R,812,R,1463,R,34,R,20,R,14,R,7,R,3,R,4,R,437,R,266,R,171,R,24,R,12,R,12,R,233,R,113,R,120,R,3,R,1,R,2
101587,1,29,3,4,R,4427,R,1219,R,3208,R,24,R,5,R,19,R,25,R,16,R,9,R,2173,R,486,R,1687,R,60,R,24,R,36,R,2,R,1,R,1,R,1815,R,573,R,1242,R,33,R,11,R,22,R,196,R,56,R,140,R,99,R,47,R,52
101602,1,29,3,4,R,1570,R,606,R,964,R,3,R,2,R,1,R,11,R,2,R,9,R,360,R,103,R,257,R,14,R,4,R,10,Z,0,Z,0,Z,0,R,1171,R,489,R,682,R,7,R,3,R,4,R,3,R,2,R,1,R,1,R,1,Z,0
101648,1,29,3,4,R,418,R,340,R,78,R,5,R,5,R,0,R,15,R,11,R,4,R,96,R,79,R,17,R,42,R,35,R,7,R,2,R,2,R,0,R,242,R,197,R,45,R,12,R,9,R,3,R,4,R,2,R,2,R,0,R,0,R,0
101675,1,29,3,4,R,1666,R,874,R,792,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1615,R,846,R,769,R,9,R,6,R,3,R,1,Z,0,R,1,R,30,R,18,R,12,R,11,R,4,R,7,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
101693,1,29,3,4,R,1610,R,513,R,1097,R,25,R,3,R,22,R,15,R,3,R,12,R,385,R,57,R,328,R,19,R,5,R,14,R,1,R,0,R,1,R,1012,R,370,R,642,R,25,R,10,R,15,R,78,R,30,R,48,R,50,R,35,R,15
